youtube_id,label,year,transcript,num_words,duration_sec,language,n_frames,mean_brightness,std_brightness,mean_edge_density
vtdm40KJyO4,1,2015,"What's up? Why see we are down in Haiti visiting our first batch of new story homes. I'm Brett Matthew I'm Ali and we're the founding team of new story a non-profit crowdfunding platform building homes for families living in danger Think of us as a watsie for homes proving our impact through video. Yeah, so we launched this four months ago And we've been able to raise 100,000 dollars funding 16 homes from over 500 donors We've also received the corporate investment to cover operational costs So our story starts when I was actually down here in Haiti meeting homeless families and learning about the crazy Life-threatening problems they face, but how a safe home has the power to change everything and solve their problems It really does. I have about a decade of international development experience And I know that a home has the power to change entire communities in a way that very very few other investments can And our donors love that a hundred percent of all donations go directly to the needs and what's home is built within each and every donor a Video of that exact family for full accountability. Yeah, so why see we don't need fancy galas or country club lunches We're building new story for where philanthropy is heading with scalable technology with transparency and with personal Connection at our core. Yeah, so last night was the final time that these families were living in a tent And today we get to go see them move in to their new story homes So you guys can't wait to tell you about it. Bye",272,95.2946875,en,10,0.5276807308197021,0.3315864592790604,0.0155112667940557
VGXkghBFtL0,1,2023,"Hey, I'm Ronik, and I'm Adi. We met four years ago studying computer science at MIT, and we're both second-time founders. And now, Ronik and I are building Remembral, a developer tool that gives large language models access to longer-term memory. We built Remembral about three weeks ago after I was struggling with a couple of different LMB side projects I was working on. It was really just for personal use, but I decided on a whim to tweet about it, and it got an insane response with hundreds of thousands of views. I realized I was on a something with memory management, and other people probably had this problem too. That one tweet led to nearly 300 people reaching out and asking to use Remembral for a really wide variety of use cases. We've realized that remembering details about the user fundamentally changes the user experience for these AI products. It allows you to turn the unstructured user data into actionable user profiles. And this means more personal conversations with chatbots. It means co-pilots that are better equipped to serve your needs and a lot more. We found that already 88% of AI founders are using retrieval as part of their LM stack, and they say it will continue to be a really important piece of the puzzle. Remembral can help empower builders to go even further with memory, and we'd really love to join this upcoming YC batch as we build that feature.",245,75.2,en,10,0.2474144995212555,0.27077278196811677,0.013623410183936358
zEG7cXEW9J8,0,2025,"Hi, I'm Josh, the co-founder and CEO of BDBuddy. I've got a background in mechanical engineering, but for the past few years, I've been building a recruitment agency, taking it from zero to $4 million in revenue with my brother, Sam. Hi, my name is Sam. I'm the co-founder and CRO of BDBuddy. I've got over a decade's worth of experience in sales and recruiting. I'm also a $1 million billar. But like Josh mentions, we've been recently bootstrapping our 12-person recruitment business. Hi, I'm Anton, the co-founder and CEO of BDBuddy. I have got 10-plus years of development experience, and for the first few years, I have been leading development teams at the one of the EUROP, which is the Unicorns, called Delivery Hero. We're building the first generation of fully autonomous AI employees for the recruitment industry. Our first BDBuddy is called Zuba. The IR recruits offer executive search and headhunters. Yes, we've seen first-hand that recruiters have way too much admin, so we want to automate the entire outreach process, and all of those boring repetitive tasks, enabling recruiters more times to build genuine human connections with candidates and clients, and increase revenue to their business. We have currently got a small group of the active users who have loved our product so far, and we have got over 200 people sign up for our waiting list. Next, we're planning to release another BDBuddy for internal recruiters to use within any company in any industry. The recruitment market as a whole is an $860 billion industry. The growth potential is huge, and we'd love YC to join us on our journey. Thanks, guys.",276,106.688,en,10,0.40523619651794435,0.30416334271430967,0.02244115062057972
KJNDZCZ5Twk,0,2016,"Hey, why commentator? I'm Chris, the founder of Polarreference, and I'm Will, the Director of Content at Polarreference. Chris and I met back in the 8th grade, and I can honestly say we've been best friends ever since. We've done a lot of stuff together. We've created music together from writing it and then performing it on stage in front of an audience. And we know that when you're looking for startup, something that really means a lot to you is how the dynamics between a team is. And that's something that Chris and I are really good at. We've worked on a lot of stuff together, like I've said, and that means that we're not going to butt heads a lot, and we're not going to have opposite opinions that'll make one of us say you know what we're done, like we're in this for the long haul. Yeah, we definitely are, and so now, me and Will are up here at the university studying and everything getting our studies done. And what's really exciting is just how this startup fell into place for us. So I started it out and did a lot of work progressing in the education sector and saw the problem that students were truly facing. And then I realized, hey, you know what, I need somebody I can trust. I need somebody who I can depend on. And that was this guy right here, actually. So now we're working on Polarreference together, making waves in the education, and we really just want to make a difference and hope you guys will actually be a part of it. So we hope to see you guys in San Francisco this year, and look forward to changing the world for the better. Thanks.",296,79.0639375,en,10,0.3429036796092987,0.20205182135105132,0.021032624691724778
jtPwiSURTW0,1,2016,"Hello, we're two guys from Norway, 28 years old, starting a company called Consus. Consus is a virtual back office allowing any company to immediately plug into a back office, solving all of their office tasks. We're doing this only with the help of pre-screen top 1% freelancers, which will source them train from all over the world. Our speciality is execution and growth, so we are currently doubling every month, which is pretty good for two Europeans. But we want to grow even faster, and the best place in the world to do that is in San Francisco, Silicon Valley, and of course in Y-combinator. Yeah, that's true. That's absolutely true. And we hear it super nice weather here in Norway, it's really cold all the time, especially in the winter. So I'd like to escape a little bit from the cold. So please accept us into your warm weather and embrace.",153,63.20475,en,10,0.5090874314308167,0.22502996772527695,0.03742810785770416
8Yat0xCmC4M,0,2016,"I'm Jackie. I'm graduating Stanford GSB in June, and before that I was a classroom teacher in Baltimore, and I'm Claire, and I was a high school teacher of her five years in New Orleans. We met last fall at a startup weekend EDU, where we were drawn together by our passion for changing education, and we ended up winning the weekend with a product called Mindful K12. Mindful K12 is a five to ten minute mindfulness curriculum that can be delivered in any teacher's classroom through WebAsap. We are passionate about this because we have seen firsthand the corrosive effects of toxic stress in the classroom. And this isn't just about inner city kids in Baltimore, or higher income students in Palo Alto. This is everybody. Half of teenagers feel overwhelmed by stress on a daily basis, and research shows that mindfulness makes a difference. Mindfulness helps the parts of the brain that increase problem solving, decision making, and emotional and behavioral regulation. So we want to get mindfulness into as many classrooms as possible. And this is where our wide combinator would really help us. Social motion learning is gaining huge traction across the board, and we're going to launch a full school, full year curriculum next fall, and we feel you would help us reach it. More classrooms. Thanks.",222,65.5383125,en,10,0.412247833609581,0.21734853386878966,0.04404918886721134
aXiu5zdQnTw,0,2016,"YC, it's hard being human. Hey YC, I'm Nathan. And I'm Brennan, and with the co-founders of Nightly. Nightly is an app that automatically creates and grades assignments for teachers. Imagine a teacher has a reading that she wants her students to do. She can paste it in, and assignment is automatically created, and when her students complete the questions, those are automatically graded. So I was actually a teacher in Oakland, and what I experienced is that there are really two big challenges to being a teacher. On the one hand, you're dealing with people, which is your students, other teachers, parents, administrators. And on the other hand, you're dealing with this mountain of paperwork, which could include creating assignments and spending hours and hours creating papers. So we spent the last year actually trying to solve the people problem. We built an intelligence study tool that tried to have conversations, that adapted quiz difficulty. But the more feedback we got, the more we saw that a software substitute for the people element for humans wasn't coming anytime soon. On the other hand, we realized that we could apply a lot of these same techniques to this paper challenge, to automating the paperwork that teachers are performing. So our goal with Nightly is to let software do what it can do well, and ultimately free teachers to do what they can do well. And that's work face to face with their students. We think this is going to be hugely valuable. I know I would have loved to have a tool like this when I was a teacher, and we think it's a really great technical challenge to be working on. So we're looking forward to maybe working on it with you guys, and we hope to see you in April. See you in April. Okay. Have a fun long day. Alright.",313,86.842625,en,10,0.36948859691619873,0.18081746697425843,0.020833189599215984
8zjMvvKu8mI,0,2016,"Hey, I'm howie. I'm John and I'm James and we're the Saturn up team and what we're trying to do is make mobile monetization Easier and more enjoyable for developers and we're all individuals that have tried launching previous five years in the past But really this is the team that can make this solution happen. We're a really strong team technically I wouldn't trust many people to work on these types of things with me But these two I have no problem with it's going fantastically so far and I met James first a couple semester ago in Entrepreneursial class and we worked extremely well together and ever since have been collaborating and trying to find the idea We want to take to market and of course. I'm at John freshman year. We became instant buddies in the programming class I mean I do web apps and you're doing like all this service side stuff and it just became a very good Way for us to collaborate and you know as soon as we became a team it was easy for us to find an idea right and we've been working on this The last five months spending night and day in TechArt where we are right now playing way too much fuseball and I've enjoyed every minute of it So yeah, it's been going fantastic so far and we'll see what the future holds I definitely need more rock star right now Yeah, we're tired",247,60.9408125,en,10,0.5001720696687698,0.2822761803865433,0.03805585205554962
sfnUjzb-EPE,0,2016,"Hey, why computer is lightning around in B3? Let's start with HSUs. Thanks for the introduction, Pat. So I'm HSUs head of 3D graphics in B2VR and with seven years experience in 3D software. With our product, I will be focusing on the pipeline between taking a patient CT data and virtualizing that in a virtual reality environment. And with a little bit more details on it, here's Alex. Thanks. So I'm Alex, CEO of CTO in B2VR. And so we're grabbing a page-specific MRI or CT data and placing it to a 3D interactive virtual environment to walk clinicians, build diagnosis, any issues. So we're working with cardiologists at Himes VA Hospital and they're doing research on the correlation between hard fat and hard failure. And so our technology visualizes this very succinctly. So with that, here's Pat. Thanks, Alex. I'm a medical researcher and I work with the doctors that Alex mentioned, cardiologists. SCSO and COO, my job is to make sure that our product conforms to what they need. What are best at what we do in our product is a combination of our skill sets and passions. It's true. We're the only one doing what we're doing on the market right now. So with that, we're looking forward to hearing back soon. And so we're looking forward to hearing back soon.",225,60.0106875,en,10,0.4464533030986786,0.26554094851016996,0.03518803343176842
wdU1-dra7Zs,1,2017,"Hi, I'm Alanna Brinston, co-founder and CEO of Bulletin. I'm Ali Creepsman, co-founder and CEO of Bulletin. Bulletin is we work for retail space. We make it easy for creative small businesses like Etsy sellers to share the cost of a storefront. One in 10 storefronts are vegan, but at the same time there are millions of businesses that can't afford the high cost of a lease. To solve this disconnect or platform-enabled sharing, kind of like what we work does for scrappy companies that need office space. And we've perfected the model. We basically take over and do retail space at a discount, slice it up and sell it off in sections. It's nearly impossible to find retail space. It's both cheap and turkey, so we're seeing 84% of vendors re-book with us, and on average one vendor refers another three. We've grown a ton since YC Fellowship. We've actually doubled our revenue every single month as the program ended. We've seen a registered merchants go from just 20 to over 5,000. We've also grown our team to fight people higher to CTO, relaunched our platform. We're almost unraising our seed ground, and we're recording this video from an actual office instead of my gross apartment. Thank you guys, see you soon.",213,67.523625,en,10,0.5248257517814636,0.2620577871799469,0.02023505587130785
